Question,Answer,,,,,,,,,,,,,,,,,,
What is a mutual fund?,"A mutual fund is an investment vehicle where money from multiple investors is pooled together to invest in a diversified portfolio of securities like stocks, bonds, or other assets.",,,,,,,,,,,,,,,,,,
What is a stock?,A stock represents a share in the ownership of a company and constitutes a claim on part of the company’s assets and earnings.,,,,,,,,,,,,,,,,,,
What is a low-risk investment?,"Low-risk investments include fixed deposits, government bonds, and high-rated debt mutual funds.",,,,,,,,,,,,,,,,,,
What is diversification in investment?,Diversification is a risk management strategy that mixes a wide variety of investments within a portfolio to reduce overall risk.,,,,,,,,,,,,,,,,,,
What is the difference between savings and investments?,"Savings is the portion of income not spent on expenses, while investments involve putting money into financial schemes, shares, or assets to generate returns.",,,,,,,,,,,,,,,,,,
What is compound interest?,Compound interest is the interest calculated on the initial principal and also on the accumulated interest of previous periods.,,,,,,,,,,,,,,,,,,
What is a SIP?,"SIP, or Systematic Investment Plan, is a method of investing in mutual funds by contributing a fixed amount regularly.",,,,,,,,,,,,,,,,,,
What are the benefits of SIP?,"Benefits of SIP include disciplined investing, rupee cost averaging, and the power of compounding over time.",,,,,,,,,,,,,,,,,,
What is the stock market?,The stock market is a marketplace where shares of publicly held companies are bought and sold.,,,,,,,,,,,,,,,,,,
What are bonds?,"Bonds are fixed-income instruments representing a loan made by an investor to a borrower, typically corporate or government.",,,,,,,,,,,,,,,,,,
What is risk tolerance?,Risk tolerance is the degree of variability in investment returns that an individual is willing to withstand.,,,,,,,,,,,,,,,,,,
What is an ETF?,"An ETF, or Exchange Traded Fund, is a type of investment fund traded on stock exchanges, holding assets like stocks, commodities, or bonds.",,,,,,,,,,,,,,,,,,
What is an index fund?,An index fund is a mutual fund or ETF designed to follow certain preset rules so that the fund can track a specified basket of underlying investments.,,,,,,,,,,,,,,,,,,
What is portfolio management?,Portfolio management involves selecting and overseeing a group of investments that meet the long-term financial objectives and risk tolerance of an investor.,,,,,,,,,,,,,,,,,,
What is the difference between equity and debt investments?,"Equity investments involve ownership in a company, while debt investments involve lending money to a company or government in exchange for fixed returns.",,,,,,,,,,,,,,,,,,
What is NAV?,"NAV, or Net Asset Value, is the per-unit value of a mutual fund, calculated as the total value of assets minus liabilities divided by the total number of units.",,,,,,,,,,,,,,,,,,
What is an IPO?,"IPO, or Initial Public Offering, is the process by which a private company offers shares to the public for the first time.",,,,,,,,,,,,,,,,,,
What is a financial goal?,A financial goal is a target or objective expressed in monetary terms that an individual plans to achieve within a specific timeframe.,,,,,,,,,,,,,,,,,,
